gene_id	CC7_tx	CC7_prot	H2_tx	H2_prot	RS_tx	RS_prot	SSB01_tx	SSB01_prot
AIPGENE128	1.04515	0.09619	0.98167	0.02058	0.98088	0.15	1.12326	0.06428
AIPGENE129	0.05141	-0.04269	0.09314	-0.12157	0.2681		0.28403	-0.06154
AIPGENE130	0.34087		0.044		0.21197		0.19749	
AIPGENE132	-0.78185		-0.31235		-0.57248		-0.75164	
AIPGENE133	-0.22185		0.1821		-0.05277		-0.0706	
AIPGENE134	0.1509		0.07897		-0.16092		0.2419	
AIPGENE135	-0.00687		0.24204		0.03664		-0.04423	
AIPGENE136	-0.54046		0.47259		-0.08481		-0.27555	
AIPGENE137	0.19774	-0.12042	0.16238	0.09427	0.31668		0.27041	-0.0293
AIPGENE138	0.081		0.05361		-0.13535		0.06708	
AIPGENE139	0.12281		-0.07391		0.20045		0.03977	
AIPGENE141	-0.2087		-0.28443		-0.35859		-0.45794	
AIPGENE142	0.51453		0.13665		0.1994		0.09562	
AIPGENE143	-0.08968		-0.17583		0.07755		-0.13069	
AIPGENE144	0.17561		0.09899		0.14426		0.312	
AIPGENE145	0.03743		0.2495		0.17446		0.26829	
AIPGENE146	0.29399	0.04579	0.05993	0.08485	-0.15857	-0.04769	0.17846	-0.16522
AIPGENE147	0.37777		0.18518		0.14797		0.03614	
AIPGENE148	-0.19951	-0.08838	-0.10947	-0.04031	-0.19708	-0.0404	-0.05264	0.08668
AIPGENE149	-0.13925		-0.04635		0.20264		-0.16658	
AIPGENE150	-0.25025	-0.00993	-0.0693	-0.09197	-0.32499		-0.30584	-0.01239
AIPGENE151	0.01328	0.0822	0.06205	0.03119	-0.06549		-0.09168	-0.02705
AIPGENE152	-0.08929		-0.15532		0.09462		-0.0432	
AIPGENE153	0.23957	0.14573	0.35853	-0.12792	0.09186	0.00202	0.14486	-0.19286
AIPGENE154	0.01916		0.19539		0.2239		0.13405	
AIPGENE156	-0.17915		0.0193		0.09326		0.11571	
AIPGENE157	-1.2188	0.04774	-1.58466	-0.07561	-1.60828	0.00081	-1.43472	0.02583
AIPGENE158	0.28418		0.09231		-0.07636		0.18474	
AIPGENE160	0.11887		0.04696		0.04261		0.24057	
AIPGENE161	-0.2908		-0.39981		-0.04853		-0.30186	
AIPGENE162	-0.04577		-0.01607		-0.07778		-0.01074	
AIPGENE163	0.04256		0.28633		-0.00158		-0.00636	
AIPGENE164	-0.23288		0.03733		-0.16115		-0.00424	
AIPGENE165	-0.07005		-0.2267		-0.21819		-0.11053	
AIPGENE166	-0.08275		-0.00417		0.09204		-0.02923	
AIPGENE167	0.48312		0.04493		0.29391		0.27883	
AIPGENE168	0.4204		0.44007		1.22852		0.5754	
AIPGENE169	0.50548		-0.12381		0.16924		-0.16965	
AIPGENE170	0.35965		0.08553		-0.00344		0.28154	
AIPGENE171	0.36653		0.2763		0.31617		0.58954	
AIPGENE172	-0.12371	0.03606	-0.03502	-0.0676	0.1383	-0.15009	0.11286	-0.00626
AIPGENE173	-0.78964		0.25112		-0.31245		0.21283	
AIPGENE174	-0.05705		-0.23366		-0.21601		0.0745	
AIPGENE175	-0.03314	0.07283	0.06627	0.07115	0.05673		-0.01375	-0.20323
AIPGENE176	-0.01766	-0.06928	-0.11238	-0.15427	-0.10168	0.01023	-0.08464	0.01839
AIPGENE177	0.37531		-0.3998		0.18499		-0.30106	
AIPGENE178	0.67724		0.28776		0.46682		0.74192	
AIPGENE179	-0.33441		-0.00962		-0.1017		0.37558	
AIPGENE180	0.3122		0.59665		0.14805		0.28807	
AIPGENE181	-0.35451	0.16203	-0.36656	0.03081	-0.75453	0.0247	-0.44206	-0.07803
AIPGENE182	-0.12963		0.14284		0.01007		0.00157	
AIPGENE183	-0.54203		-0.24505		-0.22107		-0.22811	
AIPGENE184	-0.18394		-0.01934		-0.05276		0.21904	
AIPGENE185	-0.3484		0.28192		0.28608		-0.29563	
AIPGENE186	0.10004		-0.29053		0.49889		0.5792	
AIPGENE187	0.55861	-0.00872	0.17099	0.05859	0.40319	0.03843	0.3727	0.02341
AIPGENE188	0.10745		-0.0781		-0.08375		0.03627	
AIPGENE189			1.66499				1.2961	
AIPGENE190	0.03355						0.14793	
AIPGENE191	0.39788		0.10828		0.09277		0.09086	
AIPGENE192	-0.06736		0.01104		-0.07821		-0.30707	
AIPGENE193	0.32364		-0.16319		0.12991		0.21847	
AIPGENE194	-0.07449		-0.02162		-0.21502		-0.31047	
AIPGENE195	0.01236		-0.42343		-0.59024		-0.08924	
AIPGENE196	0.2149		0.28412		-0.61246		-0.40773	
AIPGENE197	-0.25967		0.44703		-0.0347		-0.11706	
AIPGENE198	0.10693		0.17951		0.79814		0.22788	
AIPGENE199	-0.14541	0.04668	-0.14115	0.33306	-0.01117		-0.32233	-0.1233
AIPGENE200			0.49555					
AIPGENE201	-0.14184		-0.11101		-0.07691		-0.10824	
AIPGENE202	0.53243		0.26615		0.53266		0.41666	
AIPGENE203	0.08585	-0.08962	-0.10019	-0.01238	-0.05618	-0.02131	0.07387	-0.14029
AIPGENE204	0.27076		0.0063		0.13815		0.03168	
AIPGENE205	-0.13922		-0.064		0.02795		0.18004	
AIPGENE206	0.04088		-0.16775		0.31344		0.15951	
AIPGENE207	0.16532		0.27222		0.0835		-0.04139	
AIPGENE208	-0.48004		0.20216		-1.30057		-0.57589	
AIPGENE209	-0.09317		-0.05305		-0.22372		-0.00688	
AIPGENE210	-0.00477		-0.00185		-0.03644		0.00755	
AIPGENE211	0.1655		-0.2494		0.04606		-0.67316	
AIPGENE212					-0.16366			
AIPGENE213			0.82041					
AIPGENE214	-0.29595		-0.00624		-0.19127		-0.07876	
AIPGENE215	0.13795		-0.10334		0.07403		-0.05993	
AIPGENE216	0.29052		-0.20029		-0.15731		0.23898	
AIPGENE217	0.23254		0.23492		0.03231		0.10472	
AIPGENE218	-0.16678		0.43092		0.40573		0.13978	
AIPGENE219	0.14021		0.06224		0.08587		0.0684	
AIPGENE220	0.21092	-1.39982	-0.02618	-0.03708	0.03129		-0.00417	-0.24727
AIPGENE221	0.53481		0.04614		0.20412		0.18631	
AIPGENE222	0.19317		-0.27525		0.28206		0.25299	
AIPGENE223	-0.34166		-0.49256		-0.09887		-0.61088	
AIPGENE225	0.15053		0.34892		0.39585		0.06294	
AIPGENE226					-0.4903			
AIPGENE227	-0.63931		-0.33303		-0.35757		-0.5566	
