gene_id	CC7_tx	CC7_prot	H2_tx	H2_prot	RS_tx	RS_prot	SSB01_tx	SSB01_prot
AIPGENE9039	-0.30633		-0.63623		0.49748		0.31105	
AIPGENE9040	-0.16797		-0.04255		0.09204		-0.15485	
AIPGENE9041	0.19504		-0.10642		0.26123		0.03497	
AIPGENE9042	-0.72921		0.00042		-0.2461		0.26888	
AIPGENE9043	0.16765		0.50709		0.30012		0.05647	
AIPGENE9044	-0.43613		-0.21949		0.13915		-0.52646	
AIPGENE9045	0.47885	-0.00422	0.20114	0.04651	0.20278	-0.12947	0.39796	0.01023
AIPGENE9046	-0.24918	0.00083	0.03736	-0.05156	-0.4965		0.03557	-0.00274
AIPGENE9047	0.25961		0.03362		0.1005		0.01785	
AIPGENE9048	-0.00843	-0.01027	-0.0324	-0.00211	-0.05807	0.01205	-0.03611	0.06818
AIPGENE9049	0.42331		-0.31078		-0.2125		0.48459	
AIPGENE9050	0.22368		0.11006		0.02283		0.23919	
AIPGENE9051	0.44737		0.2067		0.19579		0.57123	
AIPGENE9052	-0.1451		0.05495		0.04185		0.06901	
AIPGENE9053	0.42029		-0.13142		-0.03888		0.01018	
AIPGENE9054	-0.38644		-0.33875		-0.18049		0.32241	
AIPGENE9055	-0.40263		-0.85983		0.75574		-0.34349	
AIPGENE9056	-0.89081		-0.51858		-0.61225		-0.56212	
AIPGENE9057	0.21606		-0.08752		0.02319		0.07969	
AIPGENE9059	0.02661	0.37958	0.17307	-0.29287	0.17375		-0.10289	-0.24642
AIPGENE9060	-0.19831		0.19719		0.38825		-0.10417	
AIPGENE9061	-0.02357		0.01765		-0.03227		0.13711	
AIPGENE9062	-0.10201	-0.00488	-0.01599	0.07863	0.09567		-0.18552	-0.19611
AIPGENE9063	0.57874		0.26617		0.28253		0.58577	
AIPGENE9064	0.03499		-0.0827		-0.21807		-0.07557	
AIPGENE9065	-0.03346	-0.04799	-0.13128	0.12207	0.11801	-0.14124	-0.19927	0.10022
AIPGENE9066	-0.11994		-0.09217		-0.06018		-0.0144	
AIPGENE9067	-0.91911		-0.8353				-0.6065	
AIPGENE9068	0.32563		-0.18791		0.14962		-0.08342	
AIPGENE9069	0.08956		-0.2103		-0.81395		0.1464	
AIPGENE9070	-0.04935		0.0218		0.00636		-0.13717	
AIPGENE9071	0.08877	0.23296	0.01767	-0.17228	0.0116	0.10745	0.21987	-0.00462
AIPGENE9072	0.52037	0.0091	-0.01014	-0.08327	0.20612		-0.03193	0.0771
AIPGENE9073	0.33891		-0.12443		0.18742		0.38535	
AIPGENE9074	-0.8235		-0.58165		-0.87995		-0.9611	
AIPGENE9075	-0.04638		0.14269		-0.17171		-0.15581	
AIPGENE9076	-0.02689		0.02801		0.13256		-0.04979	
AIPGENE9077	-0.70193		-0.06263		-0.38474		-0.50502	
AIPGENE9078	0.09232		-0.00929		0.28104		-0.13942	
AIPGENE9079	-0.89178		-0.21271		-0.07833		-0.46666	
AIPGENE9080	0.03304		0.19282		0.06154		-0.08471	
AIPGENE9081	0.31367		-0.01649		0.37465		0.22381	
AIPGENE9082	-0.06456		-0.05244		-0.08199		-0.09128	
AIPGENE9083	0.48371		0.16433		0.03741		0.0596	
AIPGENE9084	-0.25281	0.00473	-0.23563	0.02816	-0.21772	0.04603	-0.02522	0.05776
AIPGENE9085	0.33853		0.19475		0.33253		0.2751	
AIPGENE9086	0.11258		-0.15576		0.08475		0.08112	
AIPGENE9087	-0.00538		-0.06527		0.03987		0.39219	
AIPGENE9089	0.23142	0.02422	-0.07196	0.1978	0.07832		0.08337	-0.11739
AIPGENE9090	-0.22853		-0.08834		-0.44328		0.05377	
AIPGENE9091	-0.18634	-0.01611	-0.03407	0.00658	-0.17324	-0.01157	-0.05187	-0.00551
AIPGENE9092	-0.08862		-0.05129		-0.06696		-0.20552	
AIPGENE9093	0.19862		0.21589		0.01584		0.05205	
AIPGENE9094	-0.4535		-0.08365		-0.25868		-0.54178	
AIPGENE9095	0.25537		-0.49505		0.25712		0.42278	
AIPGENE9096	0.70004		0.31171		-0.2511		0.16659	
AIPGENE9097	-0.54993		-1.24353				-0.19337	
AIPGENE9098	0.25108	0.25189	0.22043	-0.1183	0.34273		0.24137	
AIPGENE9099	-0.02527		-0.07388		-0.28469		-0.03032	
AIPGENE9100	0.54842		0.51444		-0.0285		0.20735	
AIPGENE9101	0.45862		-0.26755				-0.16113	
AIPGENE9102	0.12047		-0.35762		-0.01324		0.13049	
AIPGENE9103	-0.06377		-0.27172		-0.53705		-0.15993	
AIPGENE9104	-0.31105		-0.29235		-0.43676		-0.37394	
AIPGENE9105	0.19064		0.21739		-0.20732		0.49042	
AIPGENE9106	-0.18679		-0.07343		0.0399		-0.20099	
AIPGENE9107	-0.47622		-0.16682		-0.29032		-0.48396	
AIPGENE9108	-0.36845		-0.17826		-0.15219		-0.30741	
AIPGENE9109	-0.67973	0.00064	-0.46378	0.00319	-0.26834	0.0132	-0.01493	-0.04558
AIPGENE9110	0.61614		-0.20062		-0.03822		-0.36273	
AIPGENE9111	0.19505		-0.02528		-0.09112		0.27734	
AIPGENE9112	0.41835		0.35404		0.09715	0.2411	0.53087	-0.4998
AIPGENE9114	-0.50985		-0.28766		-0.57722		-0.52963	
AIPGENE9115	-0.12945	-0.06057	-0.0348	-0.01354	-0.2082		-0.29321	
AIPGENE9116	0.26179		0.42174		0.41176		0.29509	
AIPGENE9117	0.48095		0.87982		1.51319		-0.22848	
AIPGENE9118	-0.05213		0.12242		0.21598		0.02291	
AIPGENE9120	0.04608		-0.00792		0.04049		0.07916	
AIPGENE9121	-0.1327		0.15817		-0.19657		-0.27785	
AIPGENE9122	0.32946		0.12311		0.04854		0.44658	
AIPGENE9123	-0.14353	0.04772	-0.07042	0.06075	-0.24827	0.04369	0.04197	-0.0265
AIPGENE9124	0.06934		-0.21628		0.11353		-0.15942	
AIPGENE9125	0.00489		-0.04019		-0.01365		0.25955	
AIPGENE9126	-0.05165		-0.01393		0.12475		0.02099	
AIPGENE9127	0.07754		-0.06111		-0.06894		0.32648	
AIPGENE9128	0.82353		0.07604		0.32232		0.62336	
AIPGENE9129	0.05736		-0.35317		0.3718		0.24178	
AIPGENE9130	0.51175		0.40744		0.4156		0.13301	
AIPGENE9131	0.8379		-1.51889		-0.10863		-0.05356	
AIPGENE9132	-0.14005		0.40757		-0.33784		-0.01882	
AIPGENE9133			-1.46818		0.32565		-0.84117	
AIPGENE9134	-0.45157		-0.01372		-0.90232		-0.34702	
AIPGENE9135			0.18786		-0.14719			
AIPGENE9136	-0.2315		-0.21263		-0.24817		-0.2344	
AIPGENE9139	-0.01614		0.37068		0.23892		0.17183	
AIPGENE9141	-0.37946		-0.4004		0.12002		-0.43159	
AIPGENE9142	-0.37331	0.11094	-0.29512	0.03459	-0.26045	-0.07421	-0.15893	-0.07169
AIPGENE9143	-0.0982		-0.09318		0.15688		0.12663	
AIPGENE9144	1.16135		-0.21152		-0.11327		-0.3945	
AIPGENE9145	-0.29113		-0.43289		-0.06871		-0.26181	
AIPGENE9146	-0.44863		-0.25183		-0.2177		-0.19395	
AIPGENE9147	-0.31317	0.45624	-0.22576	0.08472	-0.19237		-0.12294	0.12992
AIPGENE9149	-0.1224		-0.31675		-0.33391		-0.39905	
AIPGENE9150					-1.10466		-3.10312	
AIPGENE9151	0.0285		-0.04985		0.20843		-0.04244	
AIPGENE9152	-0.74898		-0.40228		-0.60341		-0.64412	
AIPGENE9154	0.67626		0.87786		0.95452		0.61507	
AIPGENE9155	-0.28003		-0.51407		-0.21496		-0.53589	
AIPGENE9158	-0.0988		0.02166		-0.01383		0.11775	
AIPGENE9159			0.18819					
AIPGENE9160	0.57677		0.87		0.93629		0.34258	
AIPGENE9162					-0.94846			
AIPGENE9163	0.25304		0.90967		1.87126		0.28303	
AIPGENE9164	0.09157		0.75793		0.301		0.12317	
AIPGENE9165	0.11544		0.97256		0.09321		0.02923	
AIPGENE9168			-0.13567					
AIPGENE9169	-0.08102		0.16359		0.65273		0.45064	
AIPGENE9171	-0.16126		-0.16408		0.15535		-0.24243	
AIPGENE9173			-0.22664		0.15741		0.02157	
AIPGENE9174	0.00866		0.58235		0.78941		0.20275	
AIPGENE9175	0.16251		0.08202		-0.00194		0.14718	
AIPGENE9176	0.19403	-0.07066	0.02316	0.04169	0.13908		0.11447	-0.01451
AIPGENE9177	-0.16941		-0.958		0.185		-0.03876	
AIPGENE9179	0.83624		-1.44875		-2.86303			
AIPGENE9180	0.17951		-0.21696		0.41175		-0.14508	
AIPGENE9181	-0.40489		0.07957		-0.71213		-0.92961	
AIPGENE9182	-0.62487		-0.24573		0.37443		0.17268	
AIPGENE9184					-1.06768			
AIPGENE9185	-0.108		-1.17907		-0.20941		-0.01681	
AIPGENE9187	0.14529		-0.04481		-0.16052		0.06169	
AIPGENE9188	0.11475	0.14647	-0.05805	0.0636	-0.40037		0.01746	0.05224
AIPGENE9189	0.17079		0.94776		0.57721		-0.09137	
AIPGENE9190	1.37454	0.1011	1.54427	0.0996	1.54882	0.17885	1.70938	0.20872
AIPGENE9191			-0.20381				-1.203	
AIPGENE9192	0.62894		0.29875		0.30428		0.40696	
AIPGENE9193	-0.04648		0.16791		0.13906		-0.10254	
AIPGENE9194	-0.11883		-0.01619		-0.08322		-0.08044	
AIPGENE9195	0.00462						0.25999	
AIPGENE9196	0.66969		-0.33179		0.60375		0.5401	
AIPGENE9197	1.44184						-0.75073	
AIPGENE9198	0.2039	0.04688	0.09249	-0.03774	-0.12384	-0.01084	0.12356	-0.03166
AIPGENE9199	0.39823		0.03181		0.08895		-0.11528	
AIPGENE9201	0.06734	-0.03021	0.06664	-0.00499	0.0296		0.09292	0.06473
AIPGENE9202	0.15473		0.03732		0.82739		0.57438	
AIPGENE9203	-0.05846		0.06902		-0.02119		-0.03662	
AIPGENE9206	-0.24274		0.29278		1.06387		-0.19814	
AIPGENE9207	0.13227	0.03575	0.10701	0.11532	0.03278	0.08075	-0.0084	-0.13424
AIPGENE9208	-0.18437		-0.14453		0.17297		-0.15977	
AIPGENE9209	0.49951		-0.22666		-0.07591		0.03672	
AIPGENE9211			-0.00882				-0.10455	
AIPGENE9212	-0.20511		-0.21322		-0.1743		0.13912	
AIPGENE9213	-0.25437		-0.17377		-0.03483		-0.13385	
AIPGENE9216	0.18197		-0.03019		-0.15891		0.06694	
AIPGENE9217	-0.36317		0.32957		-0.32106			
AIPGENE9218	-0.11052		0.15597		0.1193		-0.05642	
AIPGENE9219	-0.28527		-0.10526		-0.26415		0.01319	
AIPGENE9220	0.64086		0.20554		0.34305		0.52569	
AIPGENE9221	0.77873		0.42389		0.3774		0.39433	
AIPGENE9222	0.27711		0.30547		0.35821		0.5778	
AIPGENE9223	-0.07965		0.00829		0.06138		-0.12514	
AIPGENE9224	0.50534		0.58288		0.54453		0.51143	
AIPGENE9225	-0.04589		-0.24073		0.26		-0.02723	
AIPGENE9226	0.32556		0.29795		0.2918		0.1842	
AIPGENE9227	0.74865		-0.26951		0.85802		-0.16175	
AIPGENE9228	-0.04335		0.14938		-0.25128		-0.1637	
AIPGENE9229	0.32187	-0.03196	0.46515	0.10144	0.44113	-0.03695	0.4596	-0.08876
AIPGENE9230	0.36802		1.24402		-0.87533			
AIPGENE9231	0.25297		0.12025		0.15292		0.35181	
AIPGENE9232	-0.48347		0.27724		-0.17371		-0.33953	
AIPGENE9233	0.07001		0.03327		-0.23643		0.21192	
AIPGENE9234	-0.12128		0.07263		-0.07822		0.05984	
AIPGENE9235	-0.26413	-0.05831	-0.09361	-0.08901	-0.19098	0.08536	-0.20696	0.0543
AIPGENE9236	0.41964		-0.00069		0.38152		0.22057	
AIPGENE9237	0.39554	0.03665	0.19685	-0.04446	0.26008	-0.20553	0.26657	-0.11593
AIPGENE9238	0.07143	0.00576	0.05277	-0.08852	0.04624	0.03379	0.13977	-0.02463
AIPGENE9239	-0.32369		-0.23314		-0.22214		-0.12722	
AIPGENE9240	-0.13949		-0.08831		-0.07536		-0.03329	
AIPGENE9241	-0.25313		-0.241		0.31174		-0.86686	
AIPGENE9242			0.00066		-0.3818			
AIPGENE9243	-0.45261		-0.24506		-0.09108		-0.09536	
AIPGENE9245	-0.22725		-0.18601		0.01779		-0.16139	
AIPGENE9246	0.25495		0.20869		0.78746		0.30044	
AIPGENE9247	0.21939		0.00548		0.14042		0.21231	
AIPGENE9248	0.0128		-0.09465		0.6353		0.14058	
AIPGENE9249	-0.94739		0.29782		-0.14066		-0.31798	
AIPGENE9250	-0.37908		0.10815		0.03714		-0.21492	
AIPGENE9251	0.05235		-0.16798		-0.19556		-0.24272	
AIPGENE9252	0.16802		-0.3254		0.3992		0.18986	
AIPGENE9253	-0.21504		0.08517		0.2525		0.15605	
AIPGENE9254	-0.07574		0.04996		0.39764		0.18	
AIPGENE9255			-0.31723					
AIPGENE9256	1.33335	-0.03424	1.62229	0.09916	1.32211	0.08102	1.77635	0.38137
AIPGENE9257	-0.56805		-0.54346		-0.2613		-0.26339	
AIPGENE9258	-0.21144	0.17249	0.00164	0.05685	-0.22847	0.12346	-0.42797	-0.22561
AIPGENE9260					-0.59046		-0.52097	
AIPGENE9261			0.32052		-0.18872			
AIPGENE9262	-0.27039	0.04377	-0.0616	0.06809	-0.2045	0.10824	-0.39306	0.03092
AIPGENE9263	-0.7112		0.12271		-0.31365		-0.27616	
AIPGENE9264	-0.31925		-0.10602		-0.33321		-0.5375	
AIPGENE9265	0.17219		-0.16109		0.01165		0.02148	
AIPGENE9266	-0.08031		0.27684		-0.31587		0.27592	
AIPGENE9267	0.1506		0.15664		0.43171		0.09643	
AIPGENE9268	-0.33115		-0.27586		-0.29034		-0.26766	
AIPGENE9269	-0.78239				-0.61588		-0.39913	
AIPGENE9270	-1.10205	-0.00232	-0.24417	0.08758	-0.70165		-0.24903	-0.20253
AIPGENE9271	-0.55452		-0.39104		-0.43551		0.43331	
AIPGENE9272	-0.47619		0.03204		0.00505		0.0536	
AIPGENE9273	0.32146		0.16361		0.03431		-0.12815	
AIPGENE9274	-0.11942	-0.16739	-0.03946	-0.02926	-0.26369	0.01313	0.04265	0.17072
AIPGENE9275	0.29358		0.63606		0.30087		0.60064	
AIPGENE9276	-0.22902		0.28651		0.29483		-0.06433	
AIPGENE9277	-1.12066		-0.15688		-0.61509	-0.03433	-0.51631	0.0086
AIPGENE9278	-0.04733		0.14391		0.23932		0.01324	
AIPGENE9279	-0.05289	0.15988	0.32044	-0.10679	0.11513		0.33661	0.11757
AIPGENE9280	-0.03694	-0.04894	0.07428	-0.00705	0.2052	0.17951	0.09462	-0.05974
AIPGENE9281	-0.21866		-0.09482		-0.48032		-0.57393	
AIPGENE9282	0.09987	0.09009	-0.03569	-0.20898	0.27135		0.03248	
AIPGENE9284	-0.05785		0.46655		0.55219		0.18207	
AIPGENE9285	0.18028				-0.54804		-0.07182	
AIPGENE9286	0.53407	0.07519	0.19178	0.01269	0.35509	0.08016	0.37648	0.03562
AIPGENE9288	-0.17854		0.19828		0.09988		-0.29336	
AIPGENE9289	0.3748	-0.01992	0.68959		0.30388		0.44911	-0.03057
AIPGENE9290	-0.20416		0.14455		-0.24995		-0.08188	
AIPGENE9291	0.15298	-0.01167	-0.00347	0.05633	0.23778		0.06474	-0.09263
AIPGENE9293	-0.26193		-0.17758		-0.05217		-0.22108	
AIPGENE9294	-0.27919		0.05587		-0.3191		-0.3907	
AIPGENE9295	-0.05174		0.22544		0.09373		-0.64334	
AIPGENE9296	0.27619		0.40631		0.25573		0.46807	
AIPGENE9297	-0.07216		0.14975		-0.04564		0.20659	
AIPGENE9298	-1.26779	-0.18665	0.002	-0.02736	-0.67552	0.16895	-0.80743	-0.14081
AIPGENE9299	-0.09781		0.032		-0.03038		-0.05531	
AIPGENE9301	-0.48554		-0.07292		-0.73379		0.3562	
AIPGENE9302	-0.07592		0.35031		0.26466		0.0356	
AIPGENE9303	0.0799		0.07338		0.09683		-0.07211	
AIPGENE9304	-0.03656		0.18189		0.02579		0.04592	
AIPGENE9305	0.40356		0.12999		-0.11743		0.17109	
AIPGENE9306	0.18882		-0.14428		0.17627		0.1084	
AIPGENE9307	-0.29004		-0.12859		0.24358		-0.1563	
AIPGENE9308	0.21256		0.38918		0.15317		0.06675	
AIPGENE9309	0.2584		0.0683		0.20874		0.17151	
AIPGENE9310	-0.39101		-0.25718		-0.34964		-0.49175	
AIPGENE9311	-0.00474		0.02056		0.40318		-0.19358	
AIPGENE9312	0.26228		0.32518		0.13235		0.34128	
AIPGENE9313	0.45465		0.33809		0.56272		-0.10992	
AIPGENE9314	-1.58742		-1.19118		-1.01779		-0.92565	
AIPGENE9315	0.37781		-0.22274		-0.25294		0.02556	
AIPGENE9316	-0.14279	-0.10234	-0.08276	0.35701	-0.34043	0.20673	0.16222	0.06736
AIPGENE9317	0.00102		0.29597		0.03889		-0.21731	
AIPGENE9318	-0.10935		0.13287		0.25518		-0.18502	
AIPGENE9319	0.68861		-0.62595		0.74583		0.8368	
AIPGENE9320			-0.3067		0.90844		-0.50727	
AIPGENE9321			-0.3374		-0.4257		-0.09364	
AIPGENE9324	0.15535		0.03446		-0.01709		-0.03513	
AIPGENE9325							-0.10006	
AIPGENE9326			0.31512		-0.33304		-0.07442	
AIPGENE9327	0.45094				0.0779		-0.05908	
AIPGENE9328	0.656						-1.62618	
AIPGENE9329	-0.53449		-0.02457		0.26517		-0.45492	
AIPGENE9332	0.29778		0.09733		-0.03533		0.21456	
AIPGENE9333	-0.13184		0.07736		0.07175		0.17578	
AIPGENE9334	-0.03499		0.07702		0.05851		-0.21884	
AIPGENE9335	0.1766	0.10783	0.06726	-0.19809	0.0978	-0.01392	0.03874	-0.0066
AIPGENE9336	-0.22858		-0.10232		-0.18673		0.05719	
AIPGENE9337	0.57607		0.62667		0.15056		0.16566	
AIPGENE9338	-0.20427	0.01751	-0.27377	0.16333	-0.31569	-0.09036	-0.34732	-0.09452
AIPGENE9339	-0.04867		0.23967		-0.12808		-0.33698	
AIPGENE9340	0.02794		-0.10606		0.00704		0.08213	
AIPGENE9341	-0.18624		-0.31659		-0.10869		-0.18751	
AIPGENE9342	1.07457		-0.19092		-0.12031		0.44652	
AIPGENE9343	0.04953		0.24654		0.14115		0.28028	
AIPGENE9344	-0.85264		-0.23745		-0.34976		-0.47135	
AIPGENE9345	-0.57252		-0.51074		-0.63439		-0.74859	
AIPGENE9346			-0.61149		-1.03187			
AIPGENE9347	-1.10406		-0.59945		-1.16706		-0.86534	
AIPGENE9348	0.14843		-0.13743		-0.08198		-0.0574	
AIPGENE9349	0.30773		0.17594		0.17391		0.01859	
AIPGENE9350	-0.1314		-0.10966		0.28844		-0.14501	
AIPGENE9351	0.00734		-0.04356		0.03014		-0.00989	
AIPGENE9352	-0.15065		0.14322		0.13255		0.19104	
AIPGENE9353	-0.27534		-0.07974		-0.29269		-0.13622	
AIPGENE9354	0.24524	-0.05186	-0.01977	0.00679	-0.0489	0.01723	0.2621	-0.02552
AIPGENE9355	0.06637	0.08204	-0.1891	-0.0197	-0.25848	-0.01207	-0.15624	-0.00953
AIPGENE9356	0.02211		-0.39463		0.2161		-0.00235	
AIPGENE9357	0.43783		0.40238		0.62355		0.01978	
AIPGENE9358	0.19361		-0.09393		0.01883		0.14119	
AIPGENE9359	0.21899	0.08999	0.33039	-0.05146	0.15275	0.02945	0.36409	0.01588
AIPGENE9360	0.19327	0.04678	0.26132	-0.02883	0.25945	-0.03417	0.32099	-0.03798
AIPGENE9361	0.3741		0.26828		0.08225		0.31024	
AIPGENE9362	-0.03611		0.29871		0.14648		-0.2083	
AIPGENE9363	-0.09529	0.16655	-0.1685	-0.08215	-0.36246	-0.05744	-0.1764	-0.01238
AIPGENE9364	-0.14979		-0.21582		-0.31666		-0.09771	
AIPGENE9365	-0.21316		-0.23014		-0.32617		-0.31448	
AIPGENE9366	-0.24143		-0.15447		-0.14512		-0.11032	
AIPGENE9367	-0.32189		-0.15613		0.2991		-0.17432	
AIPGENE9370	0.2251		0.16062		0.2014		0.13934	
AIPGENE9371	0.28025		0.04239		0.22026		-0.0034	
AIPGENE9373	0.3778		-0.13999		0.06552		0.55745	
AIPGENE9374	0.19698	0.32135	0.16454	-0.19489	0.25576		0.15582	0.01141
AIPGENE9375	-0.10965		0.52164		-0.33709		-0.15937	
AIPGENE9376	0.14402		-0.39628		-0.07625		-0.04599	
AIPGENE9377	-0.22959		-0.23143		0.20451		0.01646	
AIPGENE9378	0.25504	-0.06135	-0.01001	0.0859	0.09697	0.02493	0.1443	-0.06979
AIPGENE9379	-0.15118		-0.26294		-0.06776		0.36804	
AIPGENE9380	-0.28578		-0.21059		-0.43938		-0.42954	
AIPGENE9382	0.10206		-0.03939		-0.26786		0.27057	
AIPGENE9383	1.54125		-0.15572		-0.28301		-0.34314	
AIPGENE9384	0.15523	-0.0028	-0.26572	0.05661	-0.05171		0.178	0.01459
AIPGENE9385	-1.01021		-0.77268		-0.12919		-0.16635	
AIPGENE9386	0.17724		0.24503		-0.24153		0.65983	
AIPGENE9388	0.01933		-0.03184		0.07941		0.1009	
AIPGENE9389	-0.06201		-0.20033		-0.01993		0.3026	
AIPGENE9390	0.0145		-0.24468		-0.09714		-0.06754	
AIPGENE9391	-0.34076		-0.1538		-0.33522		-0.51877	
AIPGENE9392	-0.00856		-0.91554		0.07738		0.4053	
AIPGENE9393	0.26881		-0.00273		-0.08964		0.21771	
AIPGENE9394	-0.21221		-0.51289		-0.32442		-0.48891	
AIPGENE9395	0.84008		0.33121				0.12918	
AIPGENE9396			-0.6574		-0.57426		-0.49184	
AIPGENE9397	-0.09201		0.41122		-0.1492		0.35131	
AIPGENE9399	0.24024		-0.45989		0.51175		0.13428	
AIPGENE9400			0.62181					
AIPGENE9401					1.6515			
AIPGENE9402			-0.85217				0.2691	
AIPGENE9403	0.00668		0.42638		-0.11119		0.14467	
AIPGENE9404	-0.22239		-0.8341		0.04997		-0.35628	
AIPGENE9405	0.0514	0.08203	0.07517	0.00981	-0.16068	0.06454	0.1353	0.00292
AIPGENE9407	0.02162		0.17202		0.29805		0.00781	
AIPGENE9408	-1.2993		-0.39528		-0.43729		-1.40195	
AIPGENE9409	0.17644		-0.42025		0.76281		-0.37716	
AIPGENE9410	0.63228		0.2443		0.77561		-0.79267	
AIPGENE9411	0.05201		-0.12827		-0.34126		0.83506	
AIPGENE9412	-1.24514		-0.21818		-0.10823		-0.563	
AIPGENE9413	-0.70004	-0.10984	-0.37895	0.21282	-0.69881	0.03643	0.2293	0.18542
AIPGENE9414	-0.18853		0.00092		-0.32809		0.07427	
AIPGENE9415	-0.24703		-0.11165		-0.02117		0.31768	
AIPGENE9416	-0.40713						-0.6967	
AIPGENE9418	-0.21484		-0.06412		0.4031		-0.43653	
AIPGENE9419	-0.53899		0.03557		-0.14181		0.20855	
AIPGENE9421	-0.92447		0.12435		-0.30074		0.30249	
AIPGENE9422	-0.01922		-0.45891		0.18125		-0.29568	
AIPGENE9425	-1.09662		-0.091		-0.30724		-0.43869	
AIPGENE9427	0.1027		-0.49828		-0.18988		-0.23538	
AIPGENE9428			-0.26065		-0.02172			
AIPGENE9429	0.48858		0.03504		0.1823		0.35496	
AIPGENE9430	0.45396		0.03269		0.0227		0.48691	
AIPGENE9431	-0.20365		-0.65986				0.42722	
AIPGENE9432							-0.09386	
AIPGENE9433	-0.2217		-0.36912		-0.31099		-0.14878	
AIPGENE9434	-0.84333				1.07786		-0.5587	
AIPGENE9435	0.20792		-0.0891		0.18439		0.9448	
AIPGENE9436	0.27151		0.69338				0.32699	
AIPGENE9437	-0.22904		-0.05594				0.46618	
AIPGENE9438	-0.37014		0.26628				-0.30095	
AIPGENE9439			-0.27556		0.2287		0.38453	
AIPGENE9441	-0.68242		0.20303		0.40186		-0.03877	
AIPGENE9442							-0.87358	
AIPGENE9444	-0.39671		0.4752				0.25801	
AIPGENE9446	0.31057		-0.03921		-0.31858		-0.13419	
AIPGENE9447	0.12579		0.46973		0.40089		0.36396	
AIPGENE9449	0.38866		0.83426		0.55538		0.21664	
AIPGENE9450	0.53239		-0.00039				1.17556	
AIPGENE9451	-0.26777		0.0577		-0.3094		0.4472	
AIPGENE9453			-0.32609					
AIPGENE9454	-0.2431		0.08616		-0.11702		0.70238	
AIPGENE9455			-0.11338		0.84245			
AIPGENE9456			-0.07235		-0.29725		0.85741	
AIPGENE9458	-0.42554		-0.15734				-0.60765	
AIPGENE9460			0.09014				0.05637	
AIPGENE9464			0.69652		-0.42939			
AIPGENE9465			-0.49847		0.67162			
AIPGENE9466	-0.40143		0.09734		0.16342		0.3018	
AIPGENE9467	0.04668		0.15086		0.30391		0.20994	
AIPGENE9468	-0.32513	-0.01068	0.07339	-0.08422	-0.04399		0.03501	-0.00046
AIPGENE9469	0.33945		0.38929		-0.06489		0.36776	
AIPGENE9471	-0.49242		0.0259		0.12946		0.33591	
AIPGENE9472	-0.01248		-0.13941		-2e-05		-0.13521	
AIPGENE9473	-0.24803		-0.19632		0.08281		-0.11702	
AIPGENE9474			0.333		-0.42806			
AIPGENE9475	-0.15512		0.64253		0.34456		-0.25824	
AIPGENE9476	0.34479		0.87693				-0.22409	
AIPGENE9477	0.32483		-1.0667		-0.2732		0.17663	
AIPGENE9478	0.49943		0.41969		0.14309		0.39187	
AIPGENE9479	-0.03786		0.01611		0.39191		0.11086	
AIPGENE9480			0.13966		0.0796		-0.1825	
AIPGENE9481			-0.27597		-0.00075		-0.43123	
AIPGENE9482	0.53687		0.06219		0.07895		0.18234	
AIPGENE9483	0.2		1.29073		-0.1826		-0.04768	
AIPGENE9484	0.68602		-0.06321		0.17112		0.40137	
AIPGENE9485	-0.51447		-0.58955		-0.36876		-0.21759	
AIPGENE9486	-0.28305		-0.33837		-0.17324		-0.30376	
AIPGENE9487	0.14752		0.304		-0.06162		0.02405	
AIPGENE9488	-0.21057		0.11772		-0.18862		-0.053	
AIPGENE9489	0.74114	-0.00617	0.41845	-0.06761	0.46921		0.6966	-0.09978
AIPGENE9490	0.16741		0.46351		-0.29477		0.3565	
AIPGENE9491	1.28526		-0.30156		0.2218		-0.31469	
AIPGENE9492	0.07081		0.21558		-0.02933		0.08342	
AIPGENE9494	0.24962		0.18792		0.35313		0.29713	
AIPGENE9495	-0.19051		0.16665		-0.25072		-0.88562	
AIPGENE9496			-0.61493					
AIPGENE9497	0.03599		0.17089		0.00313		0.08514	
AIPGENE9498			1.21782					
AIPGENE9500	-0.57066		-0.50546		-0.5975		-0.42015	
AIPGENE9502	-0.48245		-2.65915		-0.49176		-1.52985	
AIPGENE9503	-0.53585		0.30202		0.11149		-1.81135	
AIPGENE9504	0.16032		0.40424		0.48954		0.49214	
AIPGENE9506	1.37386		-0.2288		-0.55257		-0.84395	
AIPGENE9507	-1.39137		-0.17248		-0.33003		1.0104	
AIPGENE9508	-1.11587		-0.02553		-0.96196		-0.35279	
AIPGENE9509			-0.03462		-0.61317			
AIPGENE9510	-0.10605		0.7803		-0.17959		-1.08159	
AIPGENE9512	0.00094		-0.09183		-0.2743		0.21237	
AIPGENE9513	-0.18424		-0.27061		0.11583		0.10024	
AIPGENE9514	-0.10025		0.00645		0.23181		-0.22488	
AIPGENE9515	-0.1403		0.08588		0.27584		-0.22241	
AIPGENE9516	-0.15924		-0.38868		-0.81017		-1.05057	
AIPGENE9517	-0.19984		-0.17693		0.05829		0.18912	
AIPGENE9518	0.06108		0.10422		-0.00635		-0.00815	
AIPGENE9519	0.176		-0.24512				-0.1988	
AIPGENE9520	0.93726		-0.0283		0.72652		1.14024	
AIPGENE9521	-0.41836		-0.23675		-0.39143		-0.05343	
AIPGENE9522	-0.11727		-0.77974		0.32496			
AIPGENE9523	0.04968		0.20931		-0.29489		0.21259	
